# Force       
# CofR        : (2.929541e+00 0.000000e+00 2.000000e-01)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.01           -7.014619e+03 -5.073950e+01 -2.012555e+04 -6.997371e+03 -5.073912e+01 -2.012573e+04 -1.724741e+01 -3.804372e-04 1.836012e-01
0.02           -1.086146e+02 1.187197e+00 3.792413e+02 -9.246492e+01 1.188043e+00 3.788848e+02 -1.614964e+01 -8.460178e-04 3.565016e-01
0.03           -2.429159e+03 -3.810601e+03 7.084520e+03 -2.413108e+03 -3.810600e+03 7.084203e+03 -1.605156e+01 -9.041823e-04 3.164370e-01
0.04           -1.008798e+03 -1.559350e+03 3.305149e+03 -9.928084e+02 -1.559349e+03 3.304851e+03 -1.598997e+01 -9.776903e-04 2.979681e-01
0.05           -4.579015e+02 -6.517206e+02 1.786713e+03 -4.419650e+02 -6.517195e+02 1.786422e+03 -1.593648e+01 -1.079255e-03 2.910204e-01
0.06           -2.342457e+02 -2.783031e+02 1.110353e+03 -2.183721e+02 -2.783019e+02 1.110062e+03 -1.587361e+01 -1.244890e-03 2.913043e-01
0.07           -1.372400e+02 -1.174455e+02 8.055821e+02 -1.214538e+02 -1.174440e+02 8.052854e+02 -1.578620e+01 -1.475254e-03 2.966801e-01
0.08           -9.402227e+01 -4.654122e+01 6.578739e+02 -7.837174e+01 -4.653959e+01 6.575727e+02 -1.565053e+01 -1.622551e-03 3.012182e-01
0.09           -7.318753e+01 -1.538152e+01 5.807616e+02 -5.773753e+01 -1.538038e+01 5.804574e+02 -1.545000e+01 -1.135631e-03 3.042646e-01
0.1            -6.221067e+01 2.821362e+00 5.475280e+02 -4.701054e+01 2.821471e+00 5.472213e+02 -1.520013e+01 -1.086377e-04 3.066806e-01
0.11           -5.649305e+01 8.935502e+00 5.415192e+02 -4.156134e+01 8.935185e+00 5.412100e+02 -1.493171e+01 3.174212e-04 3.092510e-01
0.12           -5.002459e+01 1.403538e+01 5.517879e+02 -3.536542e+01 1.403551e+01 5.514757e+02 -1.465917e+01 -1.283681e-04 3.122011e-01
0.13           -4.693171e+01 1.482679e+01 5.653805e+02 -3.252961e+01 1.482779e+01 5.650656e+02 -1.440210e+01 -1.002972e-03 3.148982e-01
0.14           -4.414679e+01 1.015396e+01 5.780511e+02 -2.998276e+01 1.015550e+01 5.777342e+02 -1.416403e+01 -1.540995e-03 3.168556e-01
0.15           -4.071928e+01 1.102345e+01 5.790945e+02 -2.680410e+01 1.102594e+01 5.787756e+02 -1.391517e+01 -2.490310e-03 3.189693e-01
0.16           -3.884481e+01 9.248608e+00 5.848700e+02 -2.515945e+01 9.251707e+00 5.845489e+02 -1.368536e+01 -3.098811e-03 3.210605e-01
0.17           -3.623902e+01 1.121922e+01 5.936476e+02 -2.279122e+01 1.122323e+01 5.933243e+02 -1.344780e+01 -4.008228e-03 3.233158e-01
0.18           -3.412817e+01 8.914785e+00 5.994475e+02 -2.091080e+01 8.919347e+00 5.991222e+02 -1.321737e+01 -4.561483e-03 3.253125e-01
0.19           -3.234871e+01 8.295363e+00 6.022459e+02 -1.936411e+01 8.300561e+00 6.019184e+02 -1.298460e+01 -5.197717e-03 3.275882e-01
0.2            -3.115277e+01 6.577592e+00 6.152363e+02 -1.839015e+01 6.583132e+00 6.149080e+02 -1.276262e+01 -5.539899e-03 3.283295e-01
0.21           -3.119905e+01 5.611697e-01 6.009832e+02 -1.861785e+01 5.664063e-01 6.006526e+02 -1.258119e+01 -5.236625e-03 3.306145e-01
0.22           -2.924523e+01 1.475294e+00 6.084366e+02 -1.686212e+01 1.480532e+00 6.081045e+02 -1.238311e+01 -5.237410e-03 3.321312e-01
0.23           -2.766938e+01 1.861312e+00 6.073147e+02 -1.548031e+01 1.866701e+00 6.069807e+02 -1.218907e+01 -5.388999e-03 3.339868e-01
0.24           -2.680578e+01 1.246238e+00 6.137839e+02 -1.480695e+01 1.251627e+00 6.134488e+02 -1.199884e+01 -5.388854e-03 3.350296e-01
0.25           -2.563548e+01 7.296572e-01 6.159060e+02 -1.381296e+01 7.348894e-01 6.155698e+02 -1.182252e+01 -5.232134e-03 3.361623e-01
0.26           -2.439195e+01 9.160801e-01 6.195380e+02 -1.275696e+01 9.212879e-01 6.192012e+02 -1.163499e+01 -5.207841e-03 3.367935e-01
0.27           -2.346365e+01 1.162407e+00 6.191774e+02 -1.201339e+01 1.167617e+00 6.188398e+02 -1.145026e+01 -5.209511e-03 3.375548e-01
0.28           -2.252640e+01 4.411493e-01 6.228890e+02 -1.125472e+01 4.460570e-01 6.225506e+02 -1.127168e+01 -4.907760e-03 3.383592e-01
0.29           -2.182401e+01 1.731664e+00 6.240153e+02 -1.071157e+01 1.736609e+00 6.236760e+02 -1.111244e+01 -4.945051e-03 3.392745e-01
0.3            -2.140703e+01 1.507035e+00 6.238283e+02 -1.043411e+01 1.511892e+00 6.234877e+02 -1.097292e+01 -4.856743e-03 3.405928e-01
0.31           -2.082185e+01 1.447729e+00 6.252865e+02 -9.985500e+00 1.452468e+00 6.249446e+02 -1.083635e+01 -4.739450e-03 3.418577e-01
0.32           -2.013659e+01 1.637129e+00 6.279762e+02 -9.433888e+00 1.641939e+00 6.276331e+02 -1.070270e+01 -4.810213e-03 3.430567e-01
0.33           -1.965839e+01 1.023222e+00 6.263916e+02 -9.080345e+00 1.027756e+00 6.260472e+02 -1.057805e+01 -4.533818e-03 3.443856e-01
0.34           -1.914829e+01 7.135819e-01 6.263990e+02 -8.695180e+00 7.181442e-01 6.260533e+02 -1.045311e+01 -4.562371e-03 3.457694e-01
0.35           -1.885841e+01 1.305760e+00 6.271455e+02 -8.511168e+00 1.310479e+00 6.267988e+02 -1.034724e+01 -4.719005e-03 3.466985e-01
0.36           -1.834443e+01 2.667331e+00 6.258440e+02 -8.089677e+00 2.672970e+00 6.254954e+02 -1.025475e+01 -5.638908e-03 3.486712e-01
0.37           -1.797765e+01 1.716479e+00 6.308543e+02 -7.819987e+00 1.722195e+00 6.305048e+02 -1.015767e+01 -5.715683e-03 3.495115e-01
0.38           -1.748941e+01 2.103151e+00 6.277324e+02 -7.427661e+00 2.109638e+00 6.273809e+02 -1.006175e+01 -6.487038e-03 3.515340e-01
0.39           -1.721274e+01 1.340590e+00 6.308425e+02 -7.247948e+00 1.347275e+00 6.304902e+02 -9.964789e+00 -6.684811e-03 3.523223e-01
0.4            -1.676757e+01 1.904778e+00 6.297688e+02 -6.894878e+00 1.912007e+00 6.294144e+02 -9.872694e+00 -7.229118e-03 3.543929e-01
0.41           -1.659057e+01 9.582663e-01 6.318679e+02 -6.804127e+00 9.652093e-01 6.315122e+02 -9.786444e+00 -6.942996e-03 3.556633e-01
0.42           -1.624654e+01 5.193120e-01 6.289747e+02 -6.533851e+00 5.257676e-01 6.286159e+02 -9.712692e+00 -6.455545e-03 3.587249e-01
0.43           -1.600019e+01 7.178730e-01 6.282610e+02 -6.349538e+00 7.240824e-01 6.278999e+02 -9.650656e+00 -6.209401e-03 3.611382e-01
0.44           -1.576104e+01 4.955881e-01 6.302511e+02 -6.176346e+00 5.014777e-01 6.298858e+02 -9.584694e+00 -5.889583e-03 3.653622e-01
0.45           -1.556324e+01 5.495405e-01 6.325371e+02 -6.041350e+00 5.550231e-01 6.321687e+02 -9.521893e+00 -5.482574e-03 3.684604e-01
0.46           -1.542854e+01 6.918264e-01 6.292091e+02 -5.958598e+00 6.975216e-01 6.288346e+02 -9.469938e+00 -5.695191e-03 3.745058e-01
0.47           -1.509889e+01 6.848578e-02 6.311942e+02 -5.686518e+00 7.432694e-02 6.308157e+02 -9.412372e+00 -5.841153e-03 3.785104e-01
0.48           -1.485094e+01 5.219260e-01 6.322338e+02 -5.492948e+00 5.281360e-01 6.318482e+02 -9.357991e+00 -6.210006e-03 3.855847e-01
0.49           -1.500104e+01 7.415564e-01 6.302519e+02 -5.684780e+00 7.486095e-01 6.298608e+02 -9.316263e+00 -7.053120e-03 3.911218e-01
0.5            -1.462009e+01 1.003806e+00 6.325674e+02 -5.345140e+00 1.011478e+00 6.321674e+02 -9.274949e+00 -7.671982e-03 4.000151e-01
0.51           -1.446649e+01 2.980888e-01 6.326916e+02 -5.236593e+00 3.068474e-01 6.322857e+02 -9.229901e+00 -8.758605e-03 4.058760e-01
0.52           -1.415779e+01 4.729828e-01 6.332970e+02 -4.965513e+00 4.817193e-01 6.328820e+02 -9.192281e+00 -8.736564e-03 4.149724e-01
0.53           -1.415820e+01 3.633452e-01 6.326708e+02 -5.008414e+00 3.727315e-01 6.322482e+02 -9.149788e+00 -9.386232e-03 4.226321e-01
0.54           -1.396106e+01 5.029925e-01 6.327029e+02 -4.845851e+00 5.122151e-01 6.322707e+02 -9.115214e+00 -9.222635e-03 4.321474e-01
0.55           -1.376264e+01 9.102947e-02 6.338925e+02 -4.686379e+00 1.004829e-01 6.334520e+02 -9.076263e+00 -9.453402e-03 4.405018e-01
0.56           -1.374239e+01 7.234431e-01 6.322944e+02 -4.690493e+00 7.323704e-01 6.318429e+02 -9.051900e+00 -8.927275e-03 4.515110e-01
0.57           -1.367720e+01 1.974265e-01 6.345013e+02 -4.656122e+00 2.064867e-01 6.340416e+02 -9.021081e+00 -9.060209e-03 4.597453e-01
0.58           -1.341279e+01 4.310374e-01 6.323848e+02 -4.421520e+00 4.385915e-01 6.319156e+02 -8.991265e+00 -7.554027e-03 4.691792e-01
0.59           -1.339584e+01 2.147930e-01 6.333706e+02 -4.434378e+00 2.210924e-01 6.328944e+02 -8.961464e+00 -6.299439e-03 4.761672e-01
0.6            -1.331836e+01 2.286664e-01 6.322781e+02 -4.376145e+00 2.321477e-01 6.317921e+02 -8.942216e+00 -3.481237e-03 4.860497e-01
0.61           -1.329878e+01 7.509320e-02 6.328336e+02 -4.375838e+00 7.690463e-02 6.323412e+02 -8.922945e+00 -1.811434e-03 4.923908e-01
0.62           -1.313250e+01 1.016959e-01 6.330646e+02 -4.226346e+00 1.006534e-01 6.325641e+02 -8.906154e+00 1.042577e-03 5.004419e-01
0.63           -1.320648e+01 4.668204e-01 6.322678e+02 -4.317339e+00 4.639284e-01 6.317615e+02 -8.889143e+00 2.892007e-03 5.062544e-01
0.64           -1.307181e+01 3.418890e-01 6.323483e+02 -4.198712e+00 3.364634e-01 6.318346e+02 -8.873100e+00 5.425630e-03 5.136891e-01
0.65           -1.301665e+01 1.998436e-01 6.327516e+02 -4.167353e+00 1.934064e-01 6.322329e+02 -8.849302e+00 6.437177e-03 5.187337e-01
0.66           -1.287590e+01 5.301299e-01 6.331021e+02 -4.046286e+00 5.226959e-01 6.325767e+02 -8.829616e+00 7.434006e-03 5.254605e-01
0.67           -1.264359e+01 5.837192e-01 6.337477e+02 -3.836718e+00 5.765036e-01 6.332175e+02 -8.806868e+00 7.215542e-03 5.302061e-01
0.68           -1.275804e+01 9.904396e-01 6.337867e+02 -3.965112e+00 9.837196e-01 6.332504e+02 -8.792928e+00 6.720018e-03 5.362481e-01
0.69           -1.274395e+01 3.142998e-01 6.336015e+02 -3.968270e+00 3.073889e-01 6.330620e+02 -8.775682e+00 6.910876e-03 5.395103e-01
0.7            -1.275414e+01 5.903208e-01 6.328844e+02 -3.996730e+00 5.840180e-01 6.323410e+02 -8.757408e+00 6.302849e-03 5.433823e-01
0.71           -1.269625e+01 6.828296e-01 6.340533e+02 -3.968036e+00 6.767427e-01 6.335116e+02 -8.728218e+00 6.086940e-03 5.417106e-01
0.72           -1.254125e+01 4.595932e-01 6.333652e+02 -3.835704e+00 4.545663e-01 6.328247e+02 -8.705549e+00 5.026876e-03 5.405506e-01
0.73           -1.247442e+01 3.165752e-01 6.338227e+02 -3.795386e+00 3.132285e-01 6.332853e+02 -8.679037e+00 3.346784e-03 5.374030e-01
0.74           -1.246637e+01 5.278830e-01 6.336775e+02 -3.814588e+00 5.263204e-01 6.331430e+02 -8.651786e+00 1.562627e-03 5.345111e-01
0.75           -1.250473e+01 4.322411e-01 6.334639e+02 -3.877350e+00 4.313569e-01 6.329335e+02 -8.627382e+00 8.842196e-04 5.304253e-01
0.76           -1.245929e+01 4.780985e-01 6.334058e+02 -3.858866e+00 4.784876e-01 6.328796e+02 -8.600424e+00 -3.890785e-04 5.261629e-01
0.77           -1.246269e+01 5.154317e-01 6.335477e+02 -3.889878e+00 5.160071e-01 6.330266e+02 -8.572816e+00 -5.754178e-04 5.211574e-01
