# Moment      
# CofR        : (2.929541e+00 0.000000e+00 2.000000e-01)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.01           9.761874e+03 -5.195466e+04 -3.250094e+03 9.761964e+03 -5.195770e+04 -3.241728e+03 -8.932354e-02 3.041778e+00 -8.365107e+00
0.02           -1.836025e+02 4.065602e+02 -5.712464e+01 -1.834287e+02 4.034085e+02 -4.928937e+01 -1.738327e-01 3.151694e+00 -7.835279e+00
0.03           -3.838502e+03 4.369148e+03 2.161674e+03 -3.838347e+03 4.366003e+03 2.169462e+03 -1.543483e-01 3.144719e+00 -7.787680e+00
0.04           -1.768784e+03 2.451968e+03 8.651870e+02 -1.768638e+03 2.448825e+03 8.729450e+02 -1.454270e-01 3.143275e+00 -7.757922e+00
0.05           -9.366495e+02 1.642730e+03 2.973472e+02 -9.365074e+02 1.639585e+03 3.050791e+02 -1.421326e-01 3.144624e+00 -7.731918e+00
0.06           -5.687541e+02 1.214162e+03 8.655867e+01 -5.686117e+02 1.211016e+03 9.425961e+01 -1.423680e-01 3.146261e+00 -7.700942e+00
0.07           -4.037335e+02 1.006719e+03 1.054320e+00 -4.035884e+02 1.003574e+03 8.711792e+00 -1.450951e-01 3.145347e+00 -7.657472e+00
0.08           -3.245186e+02 8.904087e+02 -3.683113e+01 -3.243712e+02 8.872749e+02 -2.924127e+01 -1.473951e-01 3.133807e+00 -7.589862e+00
0.09           -2.838117e+02 8.213729e+02 -5.137547e+01 -2.836629e+02 8.182648e+02 -4.388533e+01 -1.488285e-01 3.108085e+00 -7.490138e+00
0.1            -2.658142e+02 7.994299e+02 -6.045715e+01 -2.656643e+02 7.963580e+02 -5.309028e+01 -1.498978e-01 3.071850e+00 -7.366871e+00
0.11           -2.622520e+02 8.081630e+02 -5.403068e+01 -2.621009e+02 8.051314e+02 -4.679505e+01 -1.510991e-01 3.031568e+00 -7.235637e+00
0.12           -2.666568e+02 8.428176e+02 -5.903446e+01 -2.665042e+02 8.398276e+02 -5.193258e+01 -1.525606e-01 2.989992e+00 -7.101879e+00
0.13           -2.731185e+02 8.743047e+02 -5.538965e+01 -2.729646e+02 8.713546e+02 -4.841407e+01 -1.539151e-01 2.950117e+00 -6.975582e+00
0.14           -2.797544e+02 9.036451e+02 -4.918828e+01 -2.795995e+02 9.007332e+02 -4.233062e+01 -1.549494e-01 2.911920e+00 -6.857657e+00
0.15           -2.801553e+02 9.154784e+02 -4.532635e+01 -2.799993e+02 9.126064e+02 -3.859189e+01 -1.560540e-01 2.871965e+00 -6.734458e+00
0.16           -2.831186e+02 9.304653e+02 -4.427390e+01 -2.829615e+02 9.276312e+02 -3.765237e+01 -1.571319e-01 2.834162e+00 -6.621528e+00
0.17           -2.872172e+02 9.531167e+02 -4.460609e+01 -2.870589e+02 9.503216e+02 -3.810249e+01 -1.582738e-01 2.795098e+00 -6.503593e+00
0.18           -2.902746e+02 9.689442e+02 -4.103611e+01 -2.901153e+02 9.661876e+02 -3.464744e+01 -1.593089e-01 2.756679e+00 -6.388665e+00
0.19           -2.916849e+02 9.783863e+02 -3.593951e+01 -2.915245e+02 9.756688e+02 -2.966570e+01 -1.604340e-01 2.717581e+00 -6.273809e+00
0.2            -2.981135e+02 1.003479e+03 -3.564909e+01 -2.979527e+02 1.000801e+03 -2.948612e+01 -1.607888e-01 2.678345e+00 -6.162969e+00
0.21           -2.917213e+02 9.785123e+02 -1.887083e+01 -2.915594e+02 9.758637e+02 -1.279345e+01 -1.618868e-01 2.648610e+00 -6.077385e+00
0.22           -2.952792e+02 9.964715e+02 -2.032747e+01 -2.951165e+02 9.938570e+02 -1.434468e+01 -1.626429e-01 2.614497e+00 -5.982789e+00
0.23           -2.947081e+02 9.988470e+02 -1.886908e+01 -2.945445e+02 9.962665e+02 -1.298021e+01 -1.636021e-01 2.580511e+00 -5.888869e+00
0.24           -2.978854e+02 1.012047e+03 -1.749931e+01 -2.977213e+02 1.009501e+03 -1.170267e+01 -1.641273e-01 2.546087e+00 -5.796636e+00
0.25           -2.989415e+02 1.018731e+03 -1.533460e+01 -2.987768e+02 1.016217e+03 -9.622073e+00 -1.646919e-01 2.513725e+00 -5.712525e+00
0.26           -3.007048e+02 1.028181e+03 -1.512077e+01 -3.005398e+02 1.025703e+03 -9.499070e+00 -1.650167e-01 2.478321e+00 -5.621704e+00
0.27           -3.005266e+02 1.030053e+03 -1.522224e+01 -3.003612e+02 1.027609e+03 -9.690551e+00 -1.654063e-01 2.443833e+00 -5.531691e+00
0.28           -3.023848e+02 1.038727e+03 -1.311812e+01 -3.022190e+02 1.036318e+03 -7.672918e+00 -1.657762e-01 2.409954e+00 -5.445201e+00
0.29           -3.028065e+02 1.043025e+03 -1.573753e+01 -3.026402e+02 1.040645e+03 -1.036991e+01 -1.662349e-01 2.380255e+00 -5.367622e+00
0.3            -3.027269e+02 1.043398e+03 -1.478397e+01 -3.025600e+02 1.041043e+03 -9.483084e+00 -1.668949e-01 2.354704e+00 -5.300891e+00
0.31           -3.034356e+02 1.047429e+03 -1.412931e+01 -3.032681e+02 1.045099e+03 -8.894003e+00 -1.674914e-01 2.329364e+00 -5.235309e+00
0.32           -3.047459e+02 1.053594e+03 -1.433587e+01 -3.045778e+02 1.051289e+03 -9.164830e+00 -1.680834e-01 2.304337e+00 -5.171043e+00
0.33           -3.039990e+02 1.051801e+03 -1.283674e+01 -3.038303e+02 1.049519e+03 -7.724445e+00 -1.686713e-01 2.281120e+00 -5.112296e+00
0.34           -3.040313e+02 1.053233e+03 -1.189364e+01 -3.038620e+02 1.050976e+03 -6.841527e+00 -1.693538e-01 2.257797e+00 -5.052115e+00
0.35           -3.043651e+02 1.054719e+03 -1.275295e+01 -3.041953e+02 1.052481e+03 -7.751498e+00 -1.698082e-01 2.237775e+00 -5.001449e+00
0.36           -3.036237e+02 1.054364e+03 -1.543054e+01 -3.034528e+02 1.052142e+03 -1.047578e+01 -1.708405e-01 2.221653e+00 -4.954754e+00
0.37           -3.061245e+02 1.063505e+03 -1.303618e+01 -3.059534e+02 1.061301e+03 -8.127584e+00 -1.711548e-01 2.203352e+00 -4.908591e+00
0.38           -3.045644e+02 1.059495e+03 -1.359406e+01 -3.043923e+02 1.057309e+03 -8.732963e+00 -1.721614e-01 2.186229e+00 -4.861095e+00
0.39           -3.061277e+02 1.065127e+03 -1.181133e+01 -3.059552e+02 1.062960e+03 -6.997503e+00 -1.724857e-01 2.167062e+00 -4.813830e+00
0.4            -3.055815e+02 1.064634e+03 -1.260319e+01 -3.054080e+02 1.062484e+03 -7.835187e+00 -1.735004e-01 2.149981e+00 -4.768004e+00
0.41           -3.066866e+02 1.068371e+03 -1.094037e+01 -3.065126e+02 1.066238e+03 -6.213620e+00 -1.740056e-01 2.133252e+00 -4.726754e+00
0.42           -3.052991e+02 1.064541e+03 -9.224129e+00 -3.051237e+02 1.062421e+03 -4.531288e+00 -1.754161e-01 2.120667e+00 -4.692841e+00
0.43           -3.049563e+02 1.063638e+03 -9.378566e+00 -3.047798e+02 1.061528e+03 -4.716071e+00 -1.764855e-01 2.109624e+00 -4.662495e+00
0.44           -3.059246e+02 1.067721e+03 -8.966124e+00 -3.057461e+02 1.065623e+03 -4.334113e+00 -1.784679e-01 2.098661e+00 -4.632010e+00
0.45           -3.070371e+02 1.072080e+03 -8.706249e+00 -3.068572e+02 1.069993e+03 -4.102721e+00 -1.799399e-01 2.087727e+00 -4.603528e+00
