# y+ ()       
# Time        	patch         	min           	max           	average       
10            	hull	1.077264e-01	2.352925e+02	5.793302e+00
20            	hull	1.053414e-01	2.652654e+02	5.596887e+00
30            	hull	1.217036e-01	2.783312e+02	5.711502e+00
40            	hull	1.128281e-01	2.203280e+02	5.598946e+00
50            	hull	7.825735e-02	1.920887e+02	5.614615e+00
60            	hull	7.738848e-02	2.031323e+02	5.620197e+00
70            	hull	5.305578e-02	1.710166e+02	5.597665e+00
80            	hull	7.412826e-02	2.514770e+02	5.600810e+00
90            	hull	1.133059e-01	2.473539e+02	5.599167e+00
100           	hull	1.034892e-01	2.299164e+02	5.598210e+00
110           	hull	6.976243e-02	2.624928e+02	5.595300e+00
120           	hull	3.784300e-02	2.403602e+02	5.604084e+00
130           	hull	4.966937e-02	2.000347e+02	5.615050e+00
140           	hull	9.026827e-02	2.725874e+02	5.603277e+00
150           	hull	8.148449e-02	2.084799e+02	5.606646e+00
160           	hull	1.048525e-01	2.418741e+02	5.605287e+00
170           	hull	1.064890e-01	2.820953e+02	5.611979e+00
180           	hull	6.896560e-02	2.670840e+02	5.608738e+00
190           	hull	1.041011e-01	2.389610e+02	5.612421e+00
200           	hull	6.367003e-02	2.188801e+02	5.607994e+00
